__index__sample	run_index	platform	instrument	BioProject	organism	assay_type	librarylayout	date_sequenced	date_collected	genotype_sam_ss_dpl92	clade_sam	host_disease	strain_sam_ss_dpl139	host_info	country	continent	region	isolation_source	host_scienname	host_confidence	host_commonname
SAMN44825984	SRR31401398	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-11-19T15:02:00.000Z	2024-11						USA	North America	Midwest	catheter	Homo sapiens	3	human
SAMN48848955	SRR33789552	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-02T12:11:00.000Z	2024-08						USA	North America	Midwest	wound	Homo sapiens	3	human
SAMN48931679	SRR33858621	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-06-06T12:08:00.000Z	2022						USA	North America	IL	axilla and/or groin	Homo sapiens	3	human
SAMN47225662	SRR32576290	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-03-05T13:14:00.000Z	2025				UT-UPHL-CAU-2985		USA	North America	Mountain	swab - skin	Homo sapiens	3	human
SAMN43498189	SRR30545680	ILLUMINA	Illumina MiSeq	PRJNA1034667	Candidozyma auris	WGS	PAIRED	2024-09-04T15:05:00.000Z	2024						USA	North America	West	axilla and/or groin	Homo sapiens	3	human
SAMN43584787	SRR30636966	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-09-11T14:27:00.000Z	2024				UT-UPHL-CAU-2276		USA	North America	Mountain	swab - skin	Homo sapiens	3	human
SAMN48410930	SRR33502168	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-09T18:56:00.000Z	2023-02						USA	North America	Midwest	clinical	Homo sapiens	3	human
SAMN44512060	SRR31173144	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-10-30T16:04:00.000Z	2024						USA	North America	Mountain	swab - axilla and/or groin	Homo sapiens	3	human
SAMN44024312	SRR30862081	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-10-02T10:29:00.000Z	2024						USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN46473583	SRR32166927	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-29T11:48:00.000Z	2023-12				MD-MDH-CAU-2400470		USA	North America	Mid-Atlantic	sputum	Homo sapiens	3	human
SAMN44768798	SRR31362699	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-11-15T12:52:00.000Z	2024-10						USA	North America	Midwest	As reported: Sternal	Homo sapiens	3	human
SAMN49444960	SRR34036596	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:55:00.000Z	2023				NV-WW-CAU-0124B71W		USA	North America	NV	environmental (wastewater)			
SAMN48349621	SRR33439059	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-05T18:23:00.000Z	2025			Fungal infection	2025CE-CAURIS_05_05_069		USA	North America		clinical	Homo sapiens	3	human
SAMN47132471	SRR32515475	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-27T14:20:00.000Z	2024-11				MD-MDH-CAU-2500018		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
SAMN48411061	SRR33502132	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-09T18:56:00.000Z	2023-11						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN48288181	SRR33405932	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T21:17:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_257		USA	North America		clinical	Homo sapiens	3	human
SAMN43817407	SRR30844159	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T17:56:00.000Z	2024			Fungal infection	2024CE_09_18_120		USA	North America		clinical	Homo sapiens	3	human
SAMN43759543	SRR30660484	ILLUMINA	NextSeq 2000	PRJNA1160268	Candidozyma auris	RNA-Seq	PAIRED	2024-09-13T15:06:00.000Z	2020-09						USA	North America	New Jersey	intra-abdominal tissue	Homo sapiens	3	human
SAMN49444816	SRR34036660	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:57:00.000Z	2023				NV-WW-CAU-1023C98W		USA	North America	NV	environmental (wastewater)			
SAMN48585203	SRR33624082	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-19T10:50:00.000Z	2024-07						USA	North America	Midwest	peritoneal fluid	Homo sapiens	3	human
SAMN45923674	['SRR32088608','SRR32088607']	ILLUMINA	Illumina NovaSeq 6000	PRJNA672955	Candidozyma auris	WGS	PAIRED		2019				adtye	host_subject_id_sam: 28	USA	North America	Chicago. IL		Homo sapiens	3	human
SAMN43830149	SRR30847407	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T21:28:00.000Z	2024			Fungal infection	2024CE_09_19_115		USA	North America		clinical	Homo sapiens	3	human
SAMN49918915	SRR34500000	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-07-11T16:31:00.000Z	2025						USA	North America	Mountain		Homo sapiens	3	human
SAMN46999551	SRR32480160	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-02-25T10:42:00.000Z	2025						USA	North America	Mountain	blood	Homo sapiens	3	human
SAMN44606707	SRR31253345	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-11-06T15:06:00.000Z	2024						USA	North America	Mountain	blood	Homo sapiens	3	human
SAMN47224935	SRR32575285	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-03-05T11:34:00.000Z	2025				UT-UPHL-CAU-2945		USA	North America	Mountain	blood	Homo sapiens	3	human
SAMN46363208	SRR32076947	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-22T10:45:00.000Z	2023-09				MD-MDH-CAU-2400244		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN48270087	SRR33391968	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T22:27:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_214		USA	North America		clinical	Homo sapiens	3	human
SAMN48585160	SRR33624046	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-19T10:50:00.000Z	2024-06						USA	North America	Midwest	sputum	Homo sapiens	3	human
