__index__sample	run_index	platform	instrument	BioProject	organism	assay_type	librarylayout	date_sequenced	date_collected	genotype_sam_ss_dpl92	clade_sam	host_disease	strain_sam_ss_dpl139	host_info	country	continent	region	isolation_source	host_scienname	host_confidence	host_commonname
SAMN46558722	SRR32236923	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-05T09:14:00.000Z	2024-04				MD-MDH-CAU-2400685		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN44002188	SRR30847145	ILLUMINA	Illumina NovaSeq 6000	PRJNA1164417	Candidozyma auris	WGS	PAIRED	2024-09-30T21:26:00.000Z	2022-08				45-CA		PAK	Asia	Karachi	blood	Homo sapiens	3	human
SAMN48286706	SRR33403348	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T16:00:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_028		USA	North America		clinical	Homo sapiens	3	human
SAMN47224938	SRR32575297	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-03-05T11:34:00.000Z	2025				UT-UPHL-CAU-2940		USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN43584795	SRR30637014	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-09-11T14:32:00.000Z	2024				UT-UPHL-CAU-2264		USA	North America	Mountain		Homo sapiens	3	human
SAMN43829752	SRR30868025	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-02T18:02:00.000Z	2024			Fungal infection	2024CE_09_19_726		USA	North America		clinical	Homo sapiens	3	human
SAMN48288191	SRR33405942	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T21:18:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_247		USA	North America		clinical	Homo sapiens	3	human
SAMN47132470	SRR32515476	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-27T14:20:00.000Z	2024-11				MD-MDH-CAU-2500017		USA	North America	Mid-Atlantic	swab - skin	Homo sapiens	3	human
SAMN49785878	SRR34362083	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-07-03T17:22:00.000Z	2025						USA	North America	IL	sputum	Homo sapiens	3	human
SAMN48793570	SRR33752174	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-05-29T16:35:00.000Z	2025				UT-UPHL-CAU-3259		USA	North America	Mountain	swab - skin	Homo sapiens	3	human
SAMN45894767	SRR31761475	ILLUMINA	Illumina MiSeq	PRJNA1167312	Candidozyma auris	WGS	PAIRED	2024-12-18T15:03:00.000Z	2024				TN-SPHL-CAU-S0140		USA	North America	Southeast	urine	Homo sapiens	3	human
SAMN47288501	SRR32629589	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-03-10T09:54:00.000Z	2025						USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN44072544	SRR30893464	ILLUMINA	Illumina NovaSeq 6000	PRJNA1169345	Candidozyma auris	RNA-Seq	PAIRED	2024-10-05T14:03:00.000Z		462/P/14 - ClaI-2B											
SAMN48288225	SRR33405829	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T21:08:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_213		USA	North America		clinical	Homo sapiens	3	human
SAMN43830206	SRR30846253	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T19:34:00.000Z	2024			Fungal infection	2024CE_09_19_057		USA	North America		clinical	Homo sapiens	3	human
SAMN48198125	SRR33368173	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-04-29T10:53:00.000Z	2025-02				MD-MDH-CAU-2500217		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN48931530	SRR33858616	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-06-06T12:15:00.000Z	2022						USA	North America	IL	axilla and/or groin	Homo sapiens	3	human
SAMN46829115	SRR32344499	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-02-14T13:28:00.000Z	2025						USA	North America	IL	axilla and/or groin	Homo sapiens	3	human
SAMN47175296	SRR32537405	ILLUMINA	Illumina MiSeq	PRJNA1034667	Candidozyma auris	WGS	PAIRED	2025-02-28T19:23:00.000Z	2024						USA	North America	West	axilla and/or groin	Homo sapiens	3	human
SAMN48931657	SRR33858646	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-06-06T12:10:00.000Z	2022						USA	North America	IL	axilla and/or groin	Homo sapiens	3	human
SAMN48410926	SRR33502067	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-09T18:55:00.000Z	2023-01						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN49742585	SRR34323972	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-07-01T16:25:00.000Z	2025						USA	North America	Mountain	sputum	Homo sapiens	3	human
SAMN48849729	SRR33790335	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-02T12:54:00.000Z	2025-01						USA	North America	Midwest	axilla	Homo sapiens	3	human
SAMN48366753	SRR33449810	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2025-05-06T15:06:00.000Z	2025-04				MN-MNPHL-CAU-250082		USA	North America	Central	blood	Homo sapiens	3	human
SAMN42358614	SRR29824961	ILLUMINA	Illumina NovaSeq 6000	PRJNA906339	Candidozyma auris	WGS	PAIRED	2024-07-14T22:00:00.000Z	2023	Clade I					CHN	Asia	Beijing	urine	Homo sapiens	3	human
SAMN45875410	SRR31749885	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-12-17T13:18:00.000Z	2024						USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN49516445	SRR34079725	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-06-20T17:57:00.000Z	2025						USA	North America	IL	nares	Homo sapiens	3	human
SAMN47226084	SRR32576689	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-03-05T14:30:00.000Z	2025-01				MD-MDH-CAU-2500134		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN43759550	SRR30660487	ILLUMINA	NextSeq 2000	PRJNA1160268	Candidozyma auris	RNA-Seq	PAIRED	2024-09-13T15:07:00.000Z	2020-09						USA	North America	New Jersey	peritoneal fluid	Homo sapiens	3	human
SAMN43817328	SRR30844623	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T18:42:00.000Z	2024			Fungal infection	2024CE_09_18_199		USA	North America		clinical	Homo sapiens	3	human
SAMN45859294	SRR31735800	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-12-16T13:36:00.000Z	2024				UT-UPHL-CAU-2647		USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN44998048	SRR31456553	CAPILLARY	AB 3730 Genetic Analyzer	PRJNA1189548	Candidozyma auris	AMPLICON	SINGLE	2024-11-22T14:49:00.000Z	2021						USA	North America	Bronx	PCR product	Homo sapiens	3	human
SAMN48411031	SRR33502165	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-09T18:56:00.000Z	2023-05						USA	North America	Midwest	clinical	Homo sapiens	3	human
SAMN48849697	SRR33790370	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-02T13:09:00.000Z	2024-12						USA	North America	Midwest	groin	Homo sapiens	3	human
SAMN48286637	SRR33403337	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T16:00:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_097		USA	North America		clinical	Homo sapiens	3	human
SAMN48181673	SRR33345035	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-28T19:23:00.000Z	2023			Fungal infection	2025CE-CAURIS_04_23_005		USA	North America		clinical	Homo sapiens	3	human
SAMN48264922	SRR33388537	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T16:39:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_138		USA	North America		clinical	Homo sapiens	3	human
SAMN46195394	SRR31951970	ILLUMINA	Illumina HiSeq 4000	PRJNA1208975	Candidozyma auris	RNA-Seq	PAIRED	2025-01-10T11:03:00.000Z	2024						CHN	Asia	Anhui				
SAMN48441337	SRR33531350	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-12T14:44:00.000Z	2023-12						USA	North America	Midwest	clinical	Homo sapiens	3	human
SAMN44533453	SRR31192900	ILLUMINA	Illumina MiSeq	PRJNA1167312	Candidozyma auris	WGS	PAIRED	2024-11-01T13:53:00.000Z	2023				TN-SPHL-CAU-S0036		USA	North America	Southeast	blood	Homo sapiens	3	human
SAMN48585179	SRR33624109	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-19T10:50:00.000Z	2024-07						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN44624283	SRR31270894	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2024-11-07T12:29:00.000Z	2024				UT-UPHL-CAU-2525		USA	North America	Mountain		Homo sapiens	3	human
SAMN48849752	SRR33790310	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-02T12:56:00.000Z	2025-01						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN46363190	SRR32076911	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-22T10:45:00.000Z	2023-09				MD-MDH-CAU-2400226		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN47133295	SRR32516095	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-27T15:47:00.000Z	2024-12				MD-MDH-CAU-2500103		USA	North America	Mid-Atlantic	bronchial wash	Homo sapiens	3	human
SAMN48349648	SRR33439086	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-05T18:23:00.000Z	2025			Fungal infection	2025CE-CAURIS_05_05_042		USA	North America		clinical	Homo sapiens	3	human
SAMN47225708	SRR32576239	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-03-05T13:10:00.000Z	2025				UT-UPHL-CAU-3010		USA	North America	Mountain		Homo sapiens	3	human
SAMN45188518	SRR31618175	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-12-05T11:28:00.000Z	2024-11						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN48876791	SRR33814984	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-06-03T15:39:00.000Z	2025-04				MD-MDH-CAU-2500334		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN46720464	SRR32265678	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-07T09:33:00.000Z	2024-02				MD-MDH-CAU-2400754		USA	North America	Mid-Atlantic	clinical	Homo sapiens	3	human
SAMN44474390	SRR31138536	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-10-28T14:22:00.000Z	2024-10				MN-MNPHL-CAU-240270		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN48445938	SRR33536087	ILLUMINA	NextSeq 1000	PRJNA850520	Candidozyma auris	WGS	PAIRED	2025-05-12T19:58:00.000Z	2025		Clade3		LACPHL-CAUR-2025-00005		USA	North America	California	blood	Homo sapiens	3	human
SAMN44245318	SRR30946202	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T17:52:00.000Z	2024			Fungal infection	2024CE_09_19_646		USA	North America		clinical	Homo sapiens	3	human
SAMN48585092	SRR33624056	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-19T10:51:00.000Z	2024-04						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN49204599	SRR34016220	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-17T18:13:00.000Z	2025-05						USA	North America	Midwest	blood	Homo sapiens	3	human
SAMN45067899	SRR31520370	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-11-26T20:17:00.000Z	2024-10				MN-MNPHL-CAU-240305		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN43829771	SRR30867970	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-02T18:03:00.000Z	2024			Fungal infection	2024CE_09_19_500		USA	North America		clinical	Homo sapiens	3	human
SAMN42334521	SRR29713449	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-07-05T10:14:00.000Z	2024-05						USA	North America	Midwest	blood	Homo sapiens	3	human
SAMN47345155	SRR32688743	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-03-13T16:57:00.000Z	2025-01				MD-MDH-CAU-2500144		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN47516692	SRR32811363	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-03-21T16:23:00.000Z	2025				UT-UPHL-CAU-3101		USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN40333623	SRR28274020	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-03-08T15:29:00.000Z	2024-01						USA	North America	Midwest	wound	Homo sapiens	3	human
SAMN43829967	SRR30865519	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-02T14:50:00.000Z	2024			Fungal infection	2024CE_09_19_298		USA	North America		clinical	Homo sapiens	3	human
SAMN45066845	SRR31520243	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-11-26T20:17:00.000Z	2024-10				MN-MNPHL-CAU-240311		USA	North America	Central	pleural fluid	Homo sapiens	3	human
SAMN45894764	SRR31761464	ILLUMINA	Illumina MiSeq	PRJNA1167312	Candidozyma auris	WGS	PAIRED	2024-12-18T15:02:00.000Z	2024				TN-SPHL-CAU-S0137		USA	North America	Southeast	wound	Homo sapiens	3	human
SAMN48441399	SRR33531362	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-12T14:44:00.000Z	2024-03						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN43830130	SRR30847388	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T21:28:00.000Z	2024			Fungal infection	2024CE_09_19_134		USA	North America		clinical	Homo sapiens	3	human
SAMN48984748	SRR33913260	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-06-10T14:06:00.000Z	2025				UT-UPHL-CAU-3328		USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN50274235	SRR34768535	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-07-29T20:42:00.000Z	2025			Fungal infection	2025CE-CAURIS_07_29_016		USA	North America		clinical	Homo sapiens	3	human
SAMN46363374	SRR32076991	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-01-22T10:45:00.000Z	2024						USA	North America	Mountain	bronchial wash	Homo sapiens	3	human
SAMN48441359	SRR33531326	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-12T14:44:00.000Z	2023-10						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN48199555	SRR33370009	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-29T13:24:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_29_091		USA	North America		clinical	Homo sapiens	3	human
SAMN43817393	SRR30844145	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T17:56:00.000Z	2024			Fungal infection	2024CE_09_18_134		USA	North America		clinical	Homo sapiens	3	human
SAMN48585116	SRR33624008	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-19T10:49:00.000Z	2024-05						USA	North America	Midwest	sputum	Homo sapiens	3	human
SAMN49204581	SRR34016249	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-17T18:13:00.000Z	2025-04						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN44244866	SRR30945870	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T17:06:00.000Z	2024			Fungal infection	2024CE_09_19_585		USA	North America		clinical	Homo sapiens	3	human
SAMN46364860	SRR32078590	ILLUMINA	Illumina MiSeq	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-01-22T11:15:00.000Z	2023-12				MD-MDH-CAU-2400399		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN48849759	SRR33790302	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-02T12:55:00.000Z	2025-01						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN46439661	SRR32156854	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2025-01-28T17:30:00.000Z	2025-01				MN-MNPHL-CAU-250008		USA	North America	Central	urine	Homo sapiens	3	human
SAMN48265048	SRR33388605	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-04-30T16:46:00.000Z	2024			Fungal infection	2025CE-CAURIS_04_30_012		USA	North America		clinical	Homo sapiens	3	human
SAMN46881889	SRR32384798	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-02-18T14:56:00.000Z	2025						USA	North America	Mountain	swab - axilla and/or groin	Homo sapiens	3	human
SAMN43887211	SRR30769321	ILLUMINA	Illumina MiSeq	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-09-23T11:50:00.000Z	2024-09				MN-MNPHL-CAU-240221		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN47225712	SRR32576235	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-03-05T13:10:00.000Z	2025				UT-UPHL-CAU-3009		USA	North America	Mountain		Homo sapiens	3	human
SAMN46721316	SRR32266176	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-07T11:36:00.000Z	2024-06				MD-MDH-CAU-2400929		USA	North America	Mid-Atlantic	blood	Homo sapiens	3	human
SAMN43831590	SRR30727473	ILLUMINA	Illumina MiSeq	PRJNA1034667	Candidozyma auris	WGS	PAIRED	2024-09-19T18:16:00.000Z	2024						USA	North America	West	axilla and/or groin	Homo sapiens	3	human
SAMN47393687	SRR32706181	DNBSEQ	DNBSEQ-T7	PRJNA1236522	Candidozyma auris	WGS	PAIRED	2025-03-15T04:04:00.000Z	2024				FDBJ597		CHN	Asia		culture	Homo sapiens	3	human
SAMN49444804	SRR34036229	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:50:00.000Z	2023				NV-WW-CAU-1123B85W		USA	North America	NV	environmental (wastewater)			
SAMN49444725	SRR34036381	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:51:00.000Z	2023				NV-WW-CAU-0124B47W		USA	North America	NV	environmental (wastewater)			
SAMN48897452	SRR33832241	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-06-04T17:00:00.000Z	2025			Fungal infection	2025CE-CAURIS_06_04_046		USA	North America		clinical	Homo sapiens	3	human
SAMN44244877	SRR30945881	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T17:06:00.000Z	2024			Fungal infection	2024CE_09_19_574		USA	North America		clinical	Homo sapiens	3	human
SAMN50009987	SRR34574704	ILLUMINA	Illumina NovaSeq X	PRJNA904373	Candidozyma auris	WGS	PAIRED	2025-07-17T18:47:00.000Z	2025						USA	North America	IL	axilla and/or groin	Homo sapiens	3	human
SAMN46720972	SRR32265910	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-02-07T10:16:00.000Z	2024						USA	North America	Mountain		Homo sapiens	3	human
SAMN45727343	SRR31683385	ILLUMINA	Illumina NovaSeq 6000	PRJNA638416	Candidozyma auris	WGS	PAIRED	2024-12-11T15:35:00.000Z					B11903						Homo sapiens	3	human
SAMN48876793	SRR33814982	ILLUMINA	NextSeq 2000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-06-03T15:39:00.000Z	2025-04				MD-MDH-CAU-2500336		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN43829868	SRR30866598	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-02T16:37:00.000Z	2024			Fungal infection	2024CE_09_19_397		USA	North America		clinical	Homo sapiens	3	human
SAMN43929757	SRR30799314	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-09-25T18:16:00.000Z	2024-08						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN44245314	SRR30946198	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-10-10T17:53:00.000Z	2024			Fungal infection	2024CE_09_19_650		USA	North America		clinical	Homo sapiens	3	human
SAMN49444791	SRR34036468	ILLUMINA	NextSeq 1000	PRJNA1279182	Candidozyma auris	WGS	PAIRED	2025-06-18T14:54:00.000Z	2023				NV-WW-CAU-1123B70W		USA	North America	NV	environmental (wastewater)			
SAMN48411047	SRR33502148	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-05-09T18:55:00.000Z	2023-11						USA	North America	Midwest	abscess	Homo sapiens	3	human
SAMN44843605	SRR31416584	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2024-11-20T15:56:00.000Z	2024						USA	North America	Mountain	wound	Homo sapiens	3	human
SAMN43830247	SRR30846294	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T19:34:00.000Z	2024			Fungal infection	2024CE_09_19_016		USA	North America		clinical	Homo sapiens	3	human
SAMN47175289	SRR32537426	ILLUMINA	Illumina MiSeq	PRJNA1034667	Candidozyma auris	WGS	PAIRED	2025-02-28T19:24:00.000Z	2024						USA	North America	West	bronchial wash	Homo sapiens	3	human
SAMN48455299	SRR33546005	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-05-13T13:22:00.000Z	2025						USA	North America	Mountain	urine	Homo sapiens	3	human
SAMN42824070	SRR30008703	ILLUMINA	NextSeq 2000	PRJNA1140213	Candidozyma auris	WGS	PAIRED	2024-07-26T16:51:00.000Z	2024			Candida infection	Clade I		USA	North America	New York	urine	Homo sapiens	3	human
SAMN50089020	SRR34631289	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-07-21T12:44:00.000Z	2025-06						USA	North America	Midwest	axilla and/or groin	Homo sapiens	3	human
SAMN48288238	SRR33405842	ILLUMINA	Illumina MiniSeq	PRJNA846332	Candidozyma auris	WGS	PAIRED	2025-05-01T21:09:00.000Z	2024			Fungal infection	2025CE-CAURIS_05_01_200		USA	North America		clinical	Homo sapiens	3	human
SAMN43830244	SRR30846291	ILLUMINA	Illumina NovaSeq 6000	PRJNA846332	Candidozyma auris	WGS	PAIRED	2024-09-30T19:34:00.000Z	2024			Fungal infection	2024CE_09_19_019		USA	North America		clinical	Homo sapiens	3	human
SAMN48850656	SRR33808766	ILLUMINA	NextSeq 2000	PRJNA1179935	Candidozyma auris	WGS	PAIRED	2025-06-03T10:19:00.000Z	2025-04						USA	North America	Midwest	axilla	Homo sapiens	3	human
SAMN46558694	SRR32236954	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-05T09:15:00.000Z	2023-11				MD-MDH-CAU-2400637		USA	North America	Mid-Atlantic	swab - axilla and/or groin	Homo sapiens	3	human
SAMN46794219	SRR32323483	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-12T15:11:00.000Z	2024-07				MD-MDH-CAU-2401007		USA	North America	Mid-Atlantic	wound	Homo sapiens	3	human
SAMN47942387	SRR33125472	ILLUMINA	NextSeq 2000	PRJNA1092051	Candidozyma auris	WGS	PAIRED	2025-04-14T15:02:00.000Z	2025						USA	North America	Mountain	bronchial wash	Homo sapiens	3	human
SAMN41160197	SRR28871783	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-05-02T09:28:00.000Z	2023-09						USA	North America	Midwest	urine	Homo sapiens	3	human
SAMN47225671	SRR32576280	ILLUMINA	NextSeq 2000	PRJNA847553	Candidozyma auris	WGS	PAIRED	2025-03-05T13:10:00.000Z	2025				UT-UPHL-CAU-2966		USA	North America	Mountain		Homo sapiens	3	human
SAMN46721293	SRR32266201	ILLUMINA	NextSeq 1000	PRJNA1134646	Candidozyma auris	WGS	PAIRED	2025-02-07T11:36:00.000Z	2024-07				MD-MDH-CAU-2400906		USA	North America	Mid-Atlantic	urine	Homo sapiens	3	human
SAMN45895606	SRR31765412	ILLUMINA	NextSeq 2000	PRJNA988017	Candidozyma auris	WGS	PAIRED	2024-12-18T16:46:00.000Z	2024-11				MN-MNPHL-CAU-240340		USA	North America	Central	axilla and/or groin	Homo sapiens	3	human
SAMN44002235	SRR30847203	ILLUMINA	Illumina NovaSeq 6000	PRJNA1164417	Candidozyma auris	WGS	PAIRED	2024-09-30T21:26:00.000Z	2023-04				95-CA_1		PAK	Asia	Karachi	urine	Homo sapiens	3	human
SAMN41160200	SRR28871780	ILLUMINA	NextSeq 2000	PRJNA1085724	Candidozyma auris	WGS	PAIRED	2024-05-02T09:28:00.000Z	2023-10						USA	North America	Midwest	blood	Homo sapiens	3	human
